delayTolerance, linkLeakage, delayCutoff, storageSize, dataSize.0, flow.0, dataSize.1, flow.1, dataSize.2, flow.2
277200, 0.3, 43200, 8e+12, 8e+16, 3.64403561549e+16, 8e+16, 1.84397200207e+15, 8e+16, 8.3858327507e+15
280800, 0.3, 43200, 8e+12, 8e+16, 9.07674270637e+15, 8e+16, 1.88774861105e+16, 8e+16, 1.6440669769e+16
284400, 0.3, 43200, 8e+12, 8e+16, 1.32137548307e+16, 8e+16, 1.21332750543e+16, 8e+16, 1.94789877294e+16
288000, 0.3, 43200, 8e+12, 8e+16, 1.18924339319e+16, 8e+16, 1.70331715074e+16, 8e+16, 1.65838506088e+16
291600, 0.3, 43200, 8e+12, 8e+16, 3.45790981066e+15, 8e+16, 1.79732705762e+16, 8e+16, 2.40098503982e+16
295200, 0.3, 43200, 8e+12, 8e+16, 1.92804538563e+15, 8e+16, 3.41189134074e+16, 8e+16, 1.07995843567e+16
298800, 0.3, 43200, 8e+12, 8e+16, 2.53630317795e+15, 8e+16, 1.45323042986e+16, 8e+16, 2.98410626692e+16
302400, 0.3, 43200, 8e+12, 8e+16, 9.72845488382e+15, 8e+16, 2.71830744279e+16, 8e+16, 1.13260682548e+16
306000, 0.3, 43200, 8e+12, 8e+16, 8.20140970224e+15, 8e+16, 2.22179862925e+16, 8e+16, 1.89136007231e+16
309600, 0.3, 43200, 8e+12, 8e+16, 5.35840694541e+15, 8e+16, 3.34791267719e+16, 8e+16, 1.07195056547e+16
313200, 0.3, 43200, 8e+12, 8e+16, 4.77810030459e+15, 8e+16, 2.91325627367e+16, 8e+16, 1.64622209901e+16
316800, 0.3, 43200, 8e+12, 8e+16, 3.75669574156e+15, 8e+16, 2.19533516652e+16, 8e+16, 2.4924932013e+16
320400, 0.3, 43200, 8e+12, 8e+16, 9.1739350292e+15, 8e+16, 2.20199386253e+16, 8e+16, 2.02202067847e+16
324000, 0.3, 43200, 8e+12, 8e+16, 1.14759518352e+16, 8e+16, 2.46727706791e+16, 8e+16, 1.6423418083e+16
327600, 0.3, 43200, 8e+12, 8e+16, 2.2932901864e+15, 8e+16, 8.72692057692e+15, 8e+16, 4.17802284902e+16
331200, 0.3, 43200, 8e+12, 8e+16, 1.13398575542e+16, 8e+16, 1.73464963491e+16, 8e+16, 2.63142487558e+16
334800, 0.3, 43200, 8e+12, 8e+16, 4.34759366825e+15, 8e+16, 2.41349678723e+16, 8e+16, 2.53231041848e+16
338400, 0.3, 43200, 8e+12, 8e+16, 1.71392516859e+15, 8e+16, 2.80818774925e+16, 8e+16, 2.50947578337e+16
342000, 0.3, 43200, 8e+12, 8e+16, 1.34164617338e+16, 8e+16, 2.29410099144e+16, 8e+16, 2.02395085722e+16
345600, 0.3, 43200, 8e+12, 8e+16, 0.0, 0.0, 3.25819407241e+16, 8e+16, 2.42389400951e+16
349200, 0.3, 43200, 8e+12, 8e+16, 8.8869901373e+15, 8e+16, 3.7964245196e+16, 8e+16, 1.08997814484e+16
352800, 0.3, 43200, 8e+12, 8e+16, 0.0, 0.0, 3.07813023576e+16, 8e+16, 2.71180363062e+16
356400, 0.3, 43200, 8e+12, 8e+16, 0.0, 0.0, 4.55029840191e+16, 8e+16, 1.28140662466e+16
360000, 0.3, 43200, 8e+12, 8e+16, 7.42343432508e+15, 8e+16, 2.83103190451e+16, 8e+16, 2.33866860591e+16
363600, 0.3, 43200, 8e+12, 8e+16, 8.05478569517e+15, 8e+16, 3.12068077598e+16, 8e+16, 2.05528316738e+16
367200, 0.3, 43200, 8e+12, 8e+16, 5.44990028927e+15, 8e+16, 2.68643168138e+16, 8e+16, 2.83892438697e+16
370800, 0.3, 43200, 8e+12, 8e+16, 2.89448783229e+15, 8e+16, 2.84206394437e+16, 8e+16, 3.0016272111e+16
374400, 0.3, 43200, 8e+12, 8e+16, 1.14143286803e+15, 8e+16, 3.12795104897e+16, 8e+16, 2.94816600286e+16
378000, 0.3, 43200, 8e+12, 8e+16, 5.83286439344e+15, 8e+16, 2.95954741253e+16, 8e+16, 2.74256235928e+16
381600, 0.3, 43200, 8e+12, 8e+16, 5.26925301411e+15, 8e+16, 3.01380493313e+16, 8e+16, 2.83288137124e+16
385200, 0.3, 43200, 8e+12, 8e+16, 7.45902143039e+13, 8e+16, 3.466221981e+16, 8e+16, 2.92062020622e+16
388800, 0.3, 43200, 8e+12, 8e+16, 2.32562857568e+16, 8e+16, 1.42848686486e+16, 8e+16, 2.78018056814e+16
392400, 0.3, 43200, 8e+12, 8e+16, 1.30902603198e+15, 8e+16, 3.51545675084e+16, 8e+16, 2.88955807712e+16
396000, 0.3, 43200, 8e+12, 8e+16, 1.36071356503e+15, 8e+16, 2.54502802333e+16, 8e+16, 3.95786927364e+16
399600, 0.3, 43200, 8e+12, 8e+16, 1.45123159445e+16, 8e+16, 2.44429785518e+16, 8e+16, 2.81510690944e+16
403200, 0.3, 43200, 8e+12, 8e+16, 3.22877223761e+15, 8e+16, 3.91833146545e+16, 8e+16, 2.55190799977e+16
406800, 0.3, 43200, 8e+12, 8e+16, 1.80041349869e+16, 8e+16, 1.27009124103e+16, 8e+16, 3.83582699535e+16
