delayTolerance, linkLeakage, delayCutoff, storageSize, dataSize.0, flow.0, dataSize.1, flow.1, dataSize.2, flow.2
691200, 0.00086, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00087, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00088, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00089, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0009, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00091, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00092, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00093, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00094, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00095, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00096, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00097, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00098, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.00099, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.001, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0011, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0012, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0013, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0014, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0015, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0016, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0017, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0018, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0019, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.002, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0021, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0022, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0023, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0024, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0025, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0026, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0027, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0028, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0029, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.003, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0031, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0032, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0033, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0034, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0035, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0036, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0037, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0038, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0039, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.004, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0041, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0042, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0043, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0044, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0045, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0046, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0047, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0048, 43200, 8e+12, 8e+16, 7.99939289902e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0049, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.99698521538e+16
691200, 0.005, 43200, 8e+12, 8e+16, 7.99371924722e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0051, 43200, 8e+12, 8e+16, 7.99122187648e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0052, 43200, 8e+12, 8e+16, 7.98798863139e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0053, 43200, 8e+12, 8e+16, 7.98474463161e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0054, 43200, 8e+12, 8e+16, 7.98419083053e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0055, 43200, 8e+12, 8e+16, 7.97829288286e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0056, 43200, 8e+12, 8e+16, 7.97490902196e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0057, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.97149208581e+16
691200, 0.0058, 43200, 8e+12, 8e+16, 7.9678196276e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0059, 43200, 8e+12, 8e+16, 7.96411188327e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.006, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.96031131316e+16, 8e+16, 8e+16
691200, 0.0061, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.95659245879e+16, 8e+16, 8e+16
691200, 0.0062, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.95239931089e+16
691200, 0.0063, 43200, 8e+12, 8e+16, 7.94856960185e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0064, 43200, 8e+12, 8e+16, 7.94390049635e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0065, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.93968758012e+16
691200, 0.0066, 43200, 8e+12, 8e+16, 7.93508708519e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0067, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.93105198494e+16, 8e+16, 8e+16
691200, 0.0068, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.92574307932e+16
691200, 0.0069, 43200, 8e+12, 8e+16, 7.92087900314e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.007, 43200, 8e+12, 8e+16, 7.91595159809e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0071, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.91080597561e+16, 8e+16, 8e+16
691200, 0.0072, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.90570038102e+16
691200, 0.0073, 43200, 8e+12, 8e+16, 7.90019070847e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0074, 43200, 8e+12, 8e+16, 7.89495339094e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0075, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.88923694753e+16
691200, 0.0076, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.89296649385e+16
691200, 0.0077, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.87791342258e+16, 8e+16, 8e+16
691200, 0.0078, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.87175682646e+16
691200, 0.0079, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.86564550993e+16
691200, 0.008, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.85943254776e+16
691200, 0.0081, 43200, 8e+12, 8e+16, 7.85302191811e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0082, 43200, 8e+12, 8e+16, 7.84675759897e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0083, 43200, 8e+12, 8e+16, 7.83994103378e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0084, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.8334774678e+16
691200, 0.0085, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.82644332598e+16
691200, 0.0086, 43200, 8e+12, 8e+16, 7.9109986391e+16, 8e+16, 8e+16, 8e+16, 7.89839088829e+16
691200, 0.0087, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.80290679736e+16, 8e+16, 8e+16
691200, 0.0088, 43200, 8e+12, 8e+16, 7.78538602786e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0089, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.7796161708e+16
691200, 0.009, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.76213878453e+16
691200, 0.0091, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.75614447023e+16
691200, 0.0092, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.90803662997e+16, 8e+16, 7.83722583624e+16
691200, 0.0093, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.73333491213e+16, 8e+16, 8e+16
